标题,链接,时间（年份）,简介,种类
哈工大SCIR车万翔教授入选2019年度“龙江学者”青年学者,http://ir.hit.edu.cn/3292.html,2019/12/23,据黑龙江省教育厅官网消息，2019年“龙江学者”评聘人选正式公示。经各高校报名推荐、资格审查、通讯评审和会议评审等程序，最终确定了59人为2019年“龙江学者”评聘人选，哈尔滨工业大学社会计算与信息检索研究中心车万翔教授成功入选青年学者。,教师表彰
哈工大SCIR八篇论文被AAAI-20录用,http://ir.hit.edu.cn/3252.html,2019/11/11,"AAAI-20（The Thirty-Fourth AAAI Conference on Artificial Intelligence）将于2020年2月7日至12日在美国纽约举行。AAAI是人工智能领域的顶级国际会议，CCF A类会议，每年举办一次。本届AAAI-20共计收到7737个有效投稿，最终共有1591篇论文被大会录用，总录用率为20.6%。

哈尔滨工业大学社会计算与信息检索研究中心共有8篇长文被AAAI-20录用

LA5篇",论文发表
哈工大SCIR师生参加CCL 2019,http://ir.hit.edu.cn/3198.html,2019/10/23,"2019年10月18日至20日，由中国中文信息学会（CIPS）主办，昆明理工大学承办的第十八届中国计算语言学大会（CCL 2019）在昆明成功召开。

哈工大社会计算与信息检索研究中心副主任秦兵教授、车万翔教授、丁效老师、冯骁骋老师，博士生崔一鸣、侯宇泰、龚恒等参加了本次会议。

哈工大SCIR在本次会议中发表两篇论文，其中博士生侯宇泰与车万翔教授的工作获得了最佳张贴报告展示奖",学术交流
哈工大SCIR师生参加第八届自然语言处理和中文计算会议（NLPCC 2019）,http://ir.hit.edu.cn/3183.html,2019/10/16,"2019年10月9日至14日，由中国计算机学会主办，西北民族大学、敦煌研究院、数字出版技术国家重点实验室承办的第八届自然语言处理和中文计算会议（NLPCC 2019）在甘肃敦煌成功召开。

哈尔滨工业大学社会计算与信息检索研究中心主任刘挺教授、副主任秦兵教授、车万翔教授、冯骁骋老师，博士生孙一博、徐俊参加了本次会议。",学术交流
哈工大SCIR师生参加CCIR 2019,http://ir.hit.edu.cn/3171.html,2019/09/24,"2019年9月20日-22日，由中国中文信息学会（CIPS）和中国计算机学会（CCF）联合主办，福州大学承办的第二十五届全国信息检索学术会议（CCIR 2019）在福建福州成功召开。

哈工大社会计算与信息检索研究中心张宇教授、车万翔教授、博士生齐乐参加了本次会议。",学术交流
哈工大SCIR八篇论文被EMNLP-IJCNLP 2019录用,http://ir.hit.edu.cn/3126.html,2019/08/26,"EMNLP-IJCNLP 2019（2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing）将于2019年11月3日至7日在中国香港举行。EMNLP是计算语言学和自然语言处理领域顶级国际会议之一，CCF B类会议，由ACL SIGDAT（语言学数据特殊兴趣小组）主办，每年举办一次，今年与IJCNLP联合举办。

EMNLP-IJCNLP 2019共收到有效投稿2877篇，录用684篇，录用率为23.8%。其接收的论文覆盖了对话交互系统、信息抽取、信息检索和文档分析、词法语义、语言学理论、认知建模和心理语言学、用于NLP的机器学习、机器翻译与多语言、问答、句子级语义学、情感分析和论点挖掘、文本挖掘和NLP应用、文本推理等自然语言处理领域众多研究方向。

哈尔滨工业大学社会计算与信息检索研究中心有七篇长文和一篇短文被录用。

LA4篇",论文发表
哈工大SCIR在CoNLL-2019国际跨框架语义分析评测中取得第一名,http://ir.hit.edu.cn/3099.html,2019/08/13,在刚刚结束的CoNLL-2019国际跨框架语义分析评测（http://mrp.nlpl.eu/）中，哈工大社会计算与信息检索研究中心（HIT-SCIR）取得了第一名的好成绩，这是SCIR实验室继取得CoNLL-2018国际多语言通用依存分析评测第一名后再次取得该国际技术评测的冠军。,评测
哈工大SCIR博士生刘一佳、尹庆宇顺利通过博士学位答辩,http://ir.hit.edu.cn/2940.html,2019/06/14,2019年6月13日上午，哈工大社会计算与信息检索中心博士生刘一佳、尹庆宇顺利通过博士学位答辩。李生教授担任答辩委员会主席。,博士毕业
哈工大SCIR多名教师受邀参加YSSNLP 2019,http://ir.hit.edu.cn/2871.html,2019/05/17,2019年5月3日至5日，第十六届全国自然语言处理青年学者研讨会（YSSNLP 2019会议）在海南琼海顺利召开。本次研讨会由中国中文信息学会主办，海南大学承办，近200名代表参会。,学术交流
哈工大SCIR三篇论文被ACL 2019录用,http://ir.hit.edu.cn/2869.html,2019/05/17,"ACL 2019, The 57th Annual Meeting of the Association for Computational Linguistics 将于2019年7月28日至8月2日在意大利佛罗伦萨举行。ACL年会是计算语言学和自然语言处理领域最重要的顶级国际会议，CCF A类会议，由计算语言学协会主办，每年举办一次。其接收的论文覆盖了对话交互系统、语义分析、摘要生成、信息抽取、问答系统、文本挖掘、机器翻译、语篇语用学、情感分析和意见挖掘、社会计算等自然语言处理领域众多研究方向。

哈尔滨工业大学社会计算与信息检索研究中心有两篇长文和一篇短文被ACL 2019录用

车老师一篇",论文发表
哈工大SCIR博士生刘一佳获得第六届百度奖学金,http://ir.hit.edu.cn/2732.html,2019/01/08,2018年12月28日，第六届百度奖学金颁奖典礼在百度科技园隆重举行。第六届百度奖学金吸引了来自国内外知名高校的百余名申请者。通过对报名者的资格审核及学术和综合能力的评估，哈工大社会计算与信息检索研究中心博士生刘一佳与其他九位来自清华大学、北京大学、中国科学院、哈佛大学等世界各地顶尖高校的博士生喜获第六届百度奖学金。,学生获奖
哈工大SCIR师生参加CCL 2018,http://ir.hit.edu.cn/2693.html,2018/10/27,"2018年10月19日-21日，由中国中文信息学会（CIPS）主办，长沙理工大学承办的第十七届中国计算语言学大会（CCL-2018）在长沙成功召开。

哈工大社会计算与信息检索研究中心刘挺教授、车万翔教授、张伟男老师、冯骁骋老师、博士生刘一佳、崔一鸣、覃立波、硕士生丛大玮、本科生文灏洋参加了本次会议。",学术交流
哈工大SCIR多名师生参加COLING 2018,http://ir.hit.edu.cn/2610.html,2018/09/01,COLING 2018（the 27th International Conference on Computational Linguistics）于2018年8月20日至26日在美国圣达菲举行。COLING是自然语言处理领域的重要国际会议，每两年举办一次。本次会议共收到888篇投稿，接收论文332篇，接收率 37.4%。哈尔滨工业大学社会计算与信息检索研究中心共有6篇论文被COLING 2018录用。我中心丁效老师和博士生尹庆宇、段俊文、李忠阳、侯宇泰以及本科生文灏洋参会并宣讲论文：,学术交流
哈工大SCIR多名师生参加IJCAI 2018,http://ir.hit.edu.cn/2580.html,2018/08/27,IJCAI 2018（International Joint Conference on Artificial Intelligence）于7月13日至19日在瑞典斯德哥尔摩举行。哈尔滨工业大学社会计算与信息检索研究中心刘挺教授，秦兵教授，丁效博士，冯骁骋博士和博士生黄际洲、王少磊、李忠阳参会并宣讲论文：,学术交流
哈工大SCIR多名师生参加ACL 2018,http://ir.hit.edu.cn/2583.html,2018/08/17,"第56届计算语言学年会（ACL 2018, the 56th Annual Meeting of the Association for Computational Linguistics）是计算语言学和自然语言处理领域最重要的顶级国际会议，于2018年7月15日至20日在澳大利亚墨尔本举行。哈尔滨工业大学社会计算与信息检索研究中心车万翔教授，张宇教授，博士生刘一佳、尹庆宇、孙一博参会并宣讲论文:",学术交流
最新！哈工大SCIR在国际多语言通用依存分析评测中夺得冠军,http://ir.hit.edu.cn/2540.html,2018/07/04,在刚刚结束的CoNLL-2018国际评测（http://universaldependencies.org/conll18/）中，哈工大社会计算与信息检索研究中心（HIT-SCIR）取得了第一名的好成绩。CoNLL 系列评测每年由 ACL 的计算自然语言学习会议（Conference on Computational Natural Language Learning，CoNLL） 主办，是自然语言处理领域影响力最大的国际技术评测，有力推动了自然语言处理各项任务的发展。,评测
我中心翻译的《基于深度学习的自然语言处理》一书正式出版,http://ir.hit.edu.cn/2505.html,2018/05/28,由哈工大社会计算与信息检索研究中心（SCIR）车万翔、郭江、张伟男、刘铭翻译，刘挺教授主审的《基于深度学习的自然语言处理》一书正式出版，各大网上书店有售。,书籍出版
哈工大SCIR六篇长文被COLING 2018录用,http://ir.hit.edu.cn/2495.html,2018/05/17,"COLING 2018, the 27th International Conference on Computational Linguistics将于2018年8月20日至26日在美国圣达菲举行。COLING是自然语言处理领域的重要国际会议，每两年举办一次。

哈尔滨工业大学社会计算与信息检索研究中心共有6篇论文被COLING 2018录用

LA2篇",论文发表
我中心3篇长文被ACL 2018录用,http://ir.hit.edu.cn/2476.html,2018/04/25,"ACL 2018, the 56th Annual Meeting of the Association for Computational Linguistics将于2018年7月15日至20日在澳大利亚墨尔本举行。ACL年会是计算语言学和自然语言处理领域最重要的顶级国际会议，CCF A类会议，由计算语言学协会主办，每年举办一次。其接收的论文覆盖了对话交互系统、语义分析、摘要生成、信息抽取、问答系统、文本挖掘、机器翻译、语篇语用学、情感分析和意见挖掘、社会计算等自然语言处理领域众多研究方向。ACL 2018共收到长文投稿1018篇，录用258篇，收到短文投稿526篇，共录用126篇，总体录用率为24.9%。

哈尔滨工业大学社会计算与信息检索研究中心共有三篇论文被ACL 2018录用

LA1篇",论文发表
我中心6篇长文被IJCAI-ECAI 2018录用,http://ir.hit.edu.cn/2474.html,2018/04/18,"IJCAI-ECAI 2018, the 27th International Joint Conference on Artificial Intelligence and the 23rd European Conference on Artificial Intelligence将于2018年7月13日至19日在瑞典斯德哥尔摩举行。IJCAI是人工智能领域的顶级国际会议，是CCF A类会议，起于1969年每两年举办一次，自2016年起每年举办一次。ECAI是欧洲人工智能领域最重要的会议，自1974年每两年举办一次。IJCAI-ECAI 2018今年由IJCAI、EurAI和SAIS联合发起举办。

哈尔滨工业大学社会计算与信息检索研究中心共有6篇论文被IJCAI-ECAI 2018录用。

LA1篇",论文发表
SemEval-2016 Task 9中文语义依存图数据对外发布,http://ir.hit.edu.cn/2461.html,2018/04/10,哈工大社会计算与信息检索研究中心与北京语言大学邵艳秋教授合作，于2016年组织了SemEval-2016 Task 9中文语义依存评测（http://alt.qcri.org/semeval2016/task9/），为促进相关领域的研究发展，我们于近日正式对外发布此次评测所使用的数据集，可以在https://github.com/HIT-SCIR/SemEval-2016获得。欢迎大家下载使用该数据集，也欢迎提出任何意见和建议。,评测
我中心车万翔教授受邀参加第二届腾讯AI Lab学术论坛,http://ir.hit.edu.cn/2433.html,2018/03/21,2018年3月15日至16日，哈尔滨工业大学社会计算与信息检索研究中心车万翔教授受邀参加第二届腾讯AI Lab学术论坛，并作为Panel嘉宾，与香港中文大学系统工程与工程管理学系主任蒙美玲教授、北京大学计算机科学技术研究所赵东岩研究员、腾讯AI Lab自然语言处理中心史树明组长一起，畅谈了人机交互技术，尤其是自然语言处理技术的最新研究进展及其在产业中的应用。,学术交流
祝贺我中心车万翔老师晋升教授,http://ir.hit.edu.cn/2428.html,2018/03/21,经哈尔滨工业大学计算机学院教授评审，校人力资源委员会审议，校长办公会审批，哈工大社会计算与信息检索研究中心车万翔老师被聘任为教授职称，聘任时间从2017年12月31日起。祝贺车老师，并预祝他取得更大的成绩！,教师表彰
我中心师生参加第六届自然语言处理和中文计算会议（NLPCC 2017）,http://ir.hit.edu.cn/2365.html,2017/11/22,"2017年11月8-12日，由中国计算机学会主办，大连理工大学、数字出版技术国家重点实验室承办的第六届自然语言处理和中文计算会议（NLPCC 2017）在辽宁大连成功召开。

哈尔滨工业大学社会计算与信息检索研究中心副主任秦兵教授、车万翔副教授，博士生刘一佳、袁建华参加了本次会议",学术交流
我中心3篇长文被AAAI 2018录用,http://ir.hit.edu.cn/2353.html,2017/11/22,"AAAI 2018, the 32nd AAAI Conference on Artificial Intelligence，将于2018年2月2日至7日在美国新奥尔良举行。AAAI是人工智能领域的顶级国际会议，每年举办一次。

哈尔滨工业大学社会计算与信息检索研究中心共有3篇论文被AAAI 2018录用，

LA1篇",论文发表
我中心师生参加第十六届全国计算语言学会议（CCL 2017）,http://ir.hit.edu.cn/2339.html,2017/11/22,"2017年10月13-15日，由中国中文信息学会主办，清华大学智能技术与系统国家重点实验室组织，南京师范大学承办的第十六届全国计算语言学会议（CCL 2017）在南京成功召开。

我中心主任刘挺教授，副主任秦兵教授，车万翔副教授，博士生郭茂盛，硕士生郑博、龚恒参加了本次会议。",学术交流
我中心师生参加EMNLP 2017,http://ir.hit.edu.cn/2270.html,2017/09/19,我中心车万翔副教授，博士生尹庆宇和王少磊赴丹麦哥本哈根参加EMNLP国际会议（EMNLP 2017，Conference on Empirical Methods in Natural Language Processing）。EMNLP是国际自然语言处理的重要会议。,学术交流
我中心青年教师受邀参加第十四届中国自然语言处理青年学者研讨会,http://ir.hit.edu.cn/2192.html,2017/07/31,中国自然语言处理青年学者研讨会（YSSNLP）是由中国中文信息学会青年工作委员会主办的学术交流会议。YSSNLP于2004年创立，旨在促进NLP领域国内外青年学者间的学术互动，会议采取邀请制形式，主要参会人员为NLP领域的青年学者。YSSNLP今年迎来第十四届会议，本届会议于7月20-21日在江西井冈山举行，由江西师范大学承办，参会人数近100人。会议内容包括特邀报告和青年学者报告，我中心车万翔、张伟男和丁效三位老师受邀参会。其中丁效老师受邀在会上做题为《基于表示学习的股市涨跌预测》的青年学者报告。,学术交流
语言技术平台（LTP）有新家啦！,http://ir.hit.edu.cn/2152.html,2017/07/18,语言技术平台（LTP）有新家了：http://ltp.ai/ 欢迎大家访问,工程项目
哈工大SCIR在CoNLL-2017多语言通用依存句法分析评测中取得佳绩,http://ir.hit.edu.cn/2011.html,2017/06/05,在刚刚结束的CoNLL-2017 评测（http://universaldependencies.org/conll17/）中，哈工大社会计算与信息检索研究中心取得了第四名的优异成绩。CoNLL 系列评测（http://www.conll.org/）每年由 ACL 的计算自然语言学习会议（Conference on Computational Natural Language Learning，CoNLL） 主办，是自然语言处理领域影响力最大的技术评测，有力推动了自然语言处理各项任务的发展。,评测
我中心博士生郭江顺利通过博士答辩,http://ir.hit.edu.cn/1959.html,2017/03/06,2017年3月4日，我中心博士生郭江顺利通过博士学位答辩，正式毕业。,博士毕业
哈工大讯飞联合实验室研制的文本顺滑技术成功接入“讯飞听见”系统,http://ir.hit.edu.cn/1950.html,2017/01/10,科大讯飞2016年度发布会于2016年11月23日在北京国家会议中心成功召开，升级版的“讯飞听见”系统亮相此次发布会。讯飞在2015年的年度发布会就已推出实时语音转写的“讯飞听见”智能会议系统，实时将语音转写成文字，速度和准确率远超人工速记，其高达95%的转写准确率和极快的转写速度惊艳业内外。自推出之后，讯飞听见已为300余场大型峰会、发布会提供实时转写服务，大型会议配备“讯飞听见”实时转写上屏似乎已成为行业标配。本次升级版的“讯飞听见”除了增加全新的实时多语种翻译功能外，由我研究中心车万翔、刘挺、王少磊、赵怀鹏等老师和同学与科大讯飞研究院合作的文本顺滑功能也首次公开亮相。,工程项目
哈工大SCIR取得CCIR Cup 2022混合表格与文本数据问答赛道冠军,https://mp.weixin.qq.com/s/ZsDX9k8HFYW8IBUZ1mnGxg,2022/09/21,2022年9月18日，来自哈工大社会计算与信息检索研究中心（HIT-SCIR）的“TIBK-12”小队以75.1的成绩夺得全国信息检索挑战杯-基于金融财报中的混合表格与文本数据的问答赛道冠军，高出第二名约两个百分点。团队成员包括窦隆绪、王丁子睿，指导教师为车万翔教授。,评测
哈工大SCIR两位博士生施晓明、侯宇泰顺利通过博士学位答辩,https://mp.weixin.qq.com/s/yVg99RDpnUrCJASNr6fcZA,2022/09/08,2022年9月5日上午，哈工大社会计算与信息检索研究中心两位博士生施晓明、侯宇泰顺利通过博士学位论文答辩。秦兵教授担任答辩委员会主席，王宽全教授、王宏志教授、张宇教授、冯洋研究员、邱锡鹏教授和车万翔教授担任答辩委员会成员，朱庆福助理教授担任答辩秘书。,博士毕业
语言技术平台（LTP）推出 v4.2 版本！,https://mp.weixin.qq.com/s/pnGN7QY-R5TkLWnI9vNTqw,2022/08/22,"语言技术平台（http://ltp.ai/）（Language Technology Platform, LTP）是哈工大社会计算与信息检索研究中心（HIT-SCIR）历时多年研发的一整套高效、高精度的中文自然语言处理开源基础技术平台。该平台集词法分析（分词、词性标注、命名实体识别）、句法分析（依存句法分析）和语义分析（语义角色标注、语义依存分析）等多项自然语言处理技术于一体。其中句法分析、语义分析等多项关键技术多次在CoNLL国际评测中获得了第1名。此外，平台还荣获了2010年中国中文信息学会科学技术一等奖、2016年黑龙江省科技进步一等奖。国内外众多研究单位和知名企业通过签署协议以及收费授权的方式使用该平台。",工程项目
哈工大SCIR在MMNLU-22多语言任务型对话自然语言理解评测取得Full Dataset赛道第一名,https://mp.weixin.qq.com/s/LC7etMn49syiFuQ_7C4ILw,2022/08/17,哈工大社会计算与信息检索研究中心（HIT-SCIR）语言分析组郑博、黎州扬、魏福煊、陈麒光、覃立波组成的团队（指导教师为车万翔教授）参加 Massively Multilingual NLU 2022 （MMNLU-22，https://mmnlu-22.github.io）评测。该评测包括 Full Dataset 和 Zero-Shot 两个赛道，最终有十四支队伍成功提交了评测系统。我们在 Full Dataset 赛道中获得第一名，超过第二名1.02个点，在 Zero-Shot 赛道中获得第二名，与第一名差距仅为0.05个点。该评测为多语言任务型对话自然语言理解的重要评测，吸引了包括谷歌在内的国内外众多研究机构的关注和参与。,评测
ACL@2022 | 反向预测更好？基于反向提示的小样本槽位标注方法,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650804706&idx=1&sn=08da6836cf9a908516a464322339075b&chksm=8cb88409bbcf0d1f412996dc9c7c4c3b7e8ac3ae22b17defcd5d0acc6799f9a79366b37f020e&token=728330758&lang=zh_CN#rd,2022/05/04,"论文名称：Inverse is Better! Fast and Accurate Prompt for Few-shot Slot Tagging
论文作者：侯宇泰，陈成，罗先镇，李博涵，车万翔
原创作者：陈成，侯宇泰
论文链接：https://arxiv.org/abs/2204.00885
代码链接：https://github.com/AtmaHou/PromptSlotTagging",论文推荐
哈工大SCIR车万翔、刘挺 | 自然语言处理新范式：基于预训练模型的方法,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650804685&idx=1&sn=3914ecf5f82e69b8d263890cfdd3941e&chksm=8cb88426bbcf0d306c79a5116b10e3969457260ace1432de58680d13e8e5791594fbf3ffe333&token=728330758&lang=zh_CN#rd,2022/04/28,近日，《中兴通讯技术》2022年第2期（总第163期）专题——《自然语言处理预训练模型》正式发表（https://www.zte.com.cn/china/about/magazine/zte-communications/2022/cn202202 ）。受本期专题策划人，清华大学计算机系教授、中国工程院院士郑纬民邀请，哈工大社会计算与信息检索研究中心车万翔、刘挺教授撰文，介绍了《自然语言处理新范式：基于预训练模型的方法》。,书籍出版
赛尔原创@AAAI 2022|基于Profile信息的口语语言理解基准,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650804594&idx=1&sn=3683c758a9117a9fa1663534772c72b3&chksm=8cb88499bbcf0d8fb16d5e84dabe97c14a6ab51ca4e682cffc436c61d78a2b324a00127ffccf&token=728330758&lang=zh_CN#rd,2022/04/14,"论文名称：Text Is No More Enough! A Benchmark for Profile-Based Spoken Language Understanding
论文作者：徐啸，覃立波，陈开济，吴国兴，李林琳，车万翔
原创作者：徐啸
论文链接：https://arxiv.org/abs/2112.11953",论文推荐
赛尔原创@EMNLP 2021 | 多语言和跨语言对话推荐,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650804212&idx=1&sn=96b8dfccf883693cc5418a166dd11f91&chksm=8cb89a1fbbcf1309f92dcaa6e868846ceec397d50f21eb09b0b6020be2bd859e4027fc66071b&token=728330758&lang=zh_CN#rd,2022/03/11,"论文名称：DuRecDial 2.0: A Bilingual Parallel Corpus for Conversational Recommendation
论文作者：柳泽明、王海峰、牛正雨、吴华、车万翔
原创作者：柳泽明
论文链接：https://aclanthology.org/2021.emnlp-main.356/",论文推荐
赛尔原创@EMNLP 2021 | 预训练跨语言模型中的大词表构建及使用,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650804085&idx=1&sn=d06333d51698530ab326b6bd00bb2d8c&chksm=8cb89a9ebbcf1388ce4954757bbe7b24fac26139a6fe049fb21174279b882adeb617fa814520&token=728330758&lang=zh_CN#rd,2021/12/31,"论文名称：Allocating Large Vocabulary Capacity for Cross-Lingual Language Model Pre-Training
论文作者：郑博，董力，黄绍晗，Saksham Singhal，车万翔，刘挺，宋夏，韦福如
原创作者：郑博
论文链接：https://aclanthology.org/2021.emnlp-main.257/
代码链接：https://github.com/bozheng-hit/VoCapXLM",论文推荐
赛尔原创@ACL Findings | 任务共舞，小样本场景下的多任务联合学习方法初探,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650803873&idx=1&sn=ec042e4ab2e9f378cdc19d8ba7cabf46&chksm=8cb89b4abbcf125c41a6a0f60f73744674d566716e9c9ae312137640ea0582617b9f9ce7290d&token=728330758&lang=zh_CN#rd,2021/11/16,"论文名称：Learning to BridgeMetric Spaces: Few-shot Joint Learning of Intent Detection and Slot Filling
论文作者：侯宇泰，赖永魁，陈成，车万翔，刘挺
原创作者：侯宇泰
论文链接：https://arxiv.org/abs/2106.07343
代码链接：https://github.com/AtmaHou/FewShotJoint
转载须标注出处：哈工大SCIR",论文推荐
